name,risk_pct,blocked_sessions,session_rr,rr_default,one_at_a_time,h1_filter,cooldown,time_exit_min,atr_sl_mult,blocked_days,return_pct,net_profit,total_trades,win_rate,profit_factor,max_drawdown,max_drawdown_pct,avg_win,avg_loss,avg_r_multiple,max_consecutive_losses,best_trade,worst_trade
A1_R5_BUS+ASIA_1atFalse,5,"['US', 'ASIA']","{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,210,1.5,[],750.54,75054.41,544,34.38,1.33,22722.85,25.15,1607.0,631.52,0.1676,26,10453.33,-4514.53
A3_H1True_CD2_TE360_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,360,2.0,[],545.66,54566.39,1112,36.15,1.18,18984.03,25.09,906.89,436.62,0.1221,17,3287.65,-1512.94
A3_H1True_CD0_TE360_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,0,360,2.0,[],518.78,51878.35,1187,35.97,1.16,21240.26,28.11,878.58,425.36,0.1159,19,3285.84,-1507.17
A3_H1True_CD4_TE360_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,4,360,2.0,[],481.55,48154.73,1060,36.23,1.16,19242.76,24.86,904.14,442.36,0.1201,16,3366.24,-1547.07
A3_H1False_CD2_TE0_SL1.5,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,2,0,1.5,[],475.19,47519.2,1695,33.63,1.1,29657.72,39.15,953.89,441.06,0.0877,29,3520.27,-1504.46
A3_H1False_CD2_TE360_SL1.5,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,2,360,1.5,[],474.43,47443.25,1694,34.18,1.1,31220.07,41.27,935.73,443.36,0.0879,29,3520.27,-1504.46
A3_H1True_CD0_TE210_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,0,210,2.0,[],363.94,36394.34,1187,37.41,1.14,19144.91,35.29,679.37,356.99,0.1024,17,2439.26,-1084.41
A3_H1True_CD2_TE0_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,0,2.0,[],363.53,36353.29,1110,34.05,1.15,14249.66,26.12,727.88,326.21,0.1091,17,2370.78,-1090.64
A2_EU3.0_AS3.0,2,['US'],"{'EUROPE': 3.0, 'ASIA': 3.0}",2.0,False,True,2,210,1.5,[],344.28,34428.33,1113,31.27,1.14,18240.31,32.45,825.39,330.47,0.1141,27,3111.81,-1123.2
A3_H1True_CD0_TE0_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,0,0,2.0,[],343.48,34348.25,1187,33.95,1.14,15878.02,29.16,705.73,318.95,0.1039,18,2367.51,-1088.56
A3_H1True_CD4_TE0_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,4,0,2.0,[],329.52,32952.08,1057,34.06,1.14,15064.78,25.97,746.01,338.03,0.1081,17,2523.59,-1160.16
A2_EU3.0_AS1.5,2,['US'],"{'EUROPE': 3.0, 'ASIA': 1.5}",2.0,False,True,2,210,1.5,[],316.21,31621.18,1125,36.62,1.14,15939.87,31.68,614.06,310.48,0.1004,23,2757.1,-1003.47
A2_EU3.0_AS2.5,2,['US'],"{'EUROPE': 3.0, 'ASIA': 2.5}",2.0,False,True,2,210,1.5,[],304.13,30412.92,1115,32.29,1.14,16874.52,32.92,689.7,288.58,0.1066,27,2821.59,-1024.8
A3_H1True_CD2_TE0_SL1.5,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,0,1.5,[],300.72,30072.27,1116,33.87,1.15,14943.52,29.93,596.23,264.64,0.0988,34,2270.71,-998.4
A2_EU3.0_AS2.0,2,['US'],"{'EUROPE': 3.0, 'ASIA': 2.0}",2.0,False,True,2,210,1.5,[],292.72,29271.7,1116,33.87,1.15,13465.29,28.76,583.19,259.05,0.1014,26,2579.74,-936.0
A3_H1False_CD2_TE360_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,2,360,2.0,[],291.29,29128.8,1682,34.78,1.09,17164.65,33.52,634.16,311.62,0.079,26,2226.7,-1023.99
A1_R2_BUS+ASIA_1atFalse,2,"['US', 'ASIA']","{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,210,1.5,[],288.11,28810.71,544,34.38,1.31,9942.68,24.42,658.05,263.99,0.1673,26,1921.37,-814.29
A3_H1True_CD2_TE360_SL1.5,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,360,1.5,[],287.08,28707.78,1116,34.41,1.14,14494.58,30.04,595.4,273.12,0.0971,34,2190.09,-964.8
A3_H1True_CD2_TE210_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,210,2.0,[],279.18,27917.86,1113,37.2,1.12,16637.97,37.34,623.61,329.41,0.0965,17,2008.8,-891.02
