symbol,type,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,lot_size,profit,exit_reason,session,day_of_week,hour,month,duration_min,r_multiple,rr_ratio_used,risk_amount,balance_after,atr_at_entry,sl_distance_pts,sl_distance_pct
SP500.,SHORT,2025-07-14 08:35:00,2025-07-14 08:50:00,6233.35,6225.719999999999,6235.530000000001,6225.719999999999,124.9,952.99,TP,EUROPE,0,8,2025-07,15.0,1.361,3.5,700.0,10952.99,1.09,2.18,0.00035
NAS100.,SHORT,2025-07-14 08:35:00,2025-07-14 09:00:00,22697.7,22658.449999999997,22708.914285714287,22658.449999999997,62.4,2449.2,TP,EUROPE,0,8,2025-07,25.0,3.499,3.5,700.0,13402.19,5.6071,11.21,0.00049
DJ30.,SHORT,2025-07-14 08:50:00,2025-07-14 09:35:00,44142.45,44166.59285714285,44166.59285714285,44057.950000000004,28.9,-697.73,SL,EUROPE,0,8,2025-07,45.0,-0.997,3.5,700.0,12704.46,12.0714,24.14,0.00055
NAS100.,LONG,2025-07-14 11:05:00,2025-07-14 16:30:00,22711.2,22810.700000000004,22682.77142857143,22810.700000000004,31.2,3104.4,TP,EUROPE,0,11,2025-07,325.0,3.491,3.5,889.31,15808.86,14.2143,28.43,0.00125
DJ30.,LONG,2025-07-14 11:00:00,2025-07-14 16:35:00,44207.45,44381.950000000004,44157.59285714285,44381.950000000004,17.8,3106.1,TP,EUROPE,0,11,2025-07,335.0,3.493,3.5,889.31,18914.96,24.9286,49.86,0.00113
SP500.,LONG,2025-07-14 11:00:00,2025-07-14 17:00:00,6236.6,6252.05,6230.315714285714,6258.595000000001,124.9,1929.7,TIME,EUROPE,0,11,2025-07,360.0,2.17,3.5,889.31,20844.66,3.1421,6.28,0.00101
DJ30.,SHORT,2025-07-15 11:00:00,2025-07-15 13:30:00,44434.45,44485.235714285714,44485.235714285714,44256.69999999998,28.7,-1457.55,SL,EUROPE,1,11,2025-07,150.0,-0.999,3.5,1459.13,19387.11,20.3929,50.79,0.00114
DJ30.,LONG,2025-07-15 13:40:00,2025-07-15 13:45:00,44502.95,44466.021428571425,44466.021428571425,44632.2,36.7,-1355.28,SL,EUROPE,1,13,2025-07,5.0,-0.999,3.5,1357.1,18031.83,18.7143,36.93,0.00083
SP500.,LONG,2025-07-16 11:30:00,2025-07-16 15:30:00,6238.3,6252.420000000001,6234.265714285714,6252.420000000001,124.9,1763.59,TP,EUROPE,2,11,2025-07,240.0,1.397,3.5,1262.23,19795.42,2.0171,4.03,0.00065
NAS100.,LONG,2025-07-16 12:05:00,2025-07-16 15:35:00,22840.7,22917.949999999997,22818.628571428573,22917.949999999997,57.1,4410.97,TP,EUROPE,2,12,2025-07,210.0,3.495,3.5,1262.23,24206.4,11.0357,22.07,0.00097
NAS100.,LONG,2025-07-17 08:00:00,2025-07-17 08:45:00,22896.76,22933.235,22886.33857142857,22933.235,124.9,4555.73,TP,EUROPE,3,8,2025-07,45.0,2.689,3.5,1694.45,28762.13,4.9607,10.42,0.00046
DJ30.,SHORT,2025-07-17 11:30:00,2025-07-17 12:15:00,44202.5,44244.142857142855,44244.142857142855,44056.75000000001,48.3,-2011.35,SL,EUROPE,3,11,2025-07,45.0,-0.999,3.5,2013.35,26750.78,21.0714,41.64,0.00094
DJ30.,LONG,2025-07-17 12:30:00,2025-07-17 12:55:00,44258.5,44226.0,44226.0,44372.25,57.6,-1872.0,SL,EUROPE,3,12,2025-07,25.0,-1.0,3.5,1872.55,24878.78,16.5,32.5,0.00073
NAS100.,SHORT,2025-07-17 12:40:00,2025-07-17 15:50:00,22963.76,22982.18857142857,22982.18857142857,22899.259999999995,101.6,-1872.34,SL,EUROPE,3,12,2025-07,190.0,-1.0,3.5,1872.55,23006.43,9.3393,18.43,0.0008
SP500.,SHORT,2025-07-18 10:30:00,2025-07-18 16:00:00,6309.25,6312.802857142857,6312.802857142857,6296.815000000001,124.9,-443.75,SL,EUROPE,4,10,2025-07,330.0,-0.276,3.5,1610.45,22562.68,1.9014,3.55,0.00056
NAS100.,SHORT,2025-07-18 10:25:00,2025-07-18 16:25:00,23124.36,23140.25285714286,23140.25285714286,23068.734999999993,101.3,-1609.95,SL,EUROPE,4,10,2025-07,360.0,-1.0,3.5,1610.45,20952.73,8.0714,15.89,0.00069
DJ30.,SHORT,2025-07-21 13:25:00,2025-07-21 16:30:00,44454.45,44474.87857142857,44474.87857142857,44382.95,71.7,-1464.73,SL,EUROPE,0,13,2025-07,185.0,-0.999,3.5,1466.69,19488.01,10.7143,20.43,0.00046
NAS100.,LONG,2025-07-22 10:10:00,2025-07-22 10:50:00,23193.74,23177.847142857143,23177.847142857143,23249.365000000005,85.8,-1363.61,SL,EUROPE,1,10,2025-07,40.0,-1.0,3.5,1364.16,18124.4,8.0714,15.89,0.00069
SP500.,LONG,2025-07-22 10:15:00,2025-07-22 10:50:00,6311.6,6308.687142857143,6308.687142857143,6321.795000000001,124.9,-363.82,SL,EUROPE,1,10,2025-07,35.0,-0.267,3.5,1364.16,17760.58,1.5814,2.91,0.00046
NAS100.,SHORT,2025-07-22 11:30:00,2025-07-22 14:05:00,23149.99,23177.597142857143,23177.597142857143,23053.365000000005,45.0,-1242.32,SL,EUROPE,1,11,2025-07,155.0,-0.999,3.5,1243.24,16518.26,13.6786,27.61,0.00119
SP500.,SHORT,2025-07-22 11:35:00,2025-07-22 14:40:00,6304.22,6309.4342857142865,6309.4342857142865,6285.969999999998,124.9,-651.26,SL,EUROPE,1,11,2025-07,185.0,-0.524,3.5,1243.24,15867.0,2.6671,5.21,0.00083
DJ30.,SHORT,2025-07-22 11:35:00,2025-07-22 16:35:00,44368.51,44406.15285714286,44406.15285714286,44236.76000000001,33.0,-1242.21,SL,EUROPE,1,11,2025-07,300.0,-0.999,3.5,1243.24,14624.78,19.0714,37.64,0.00085
DJ30.,LONG,2025-07-24 12:35:00,2025-07-24 13:20:00,44900.01,44875.82428571429,44875.82428571429,44984.65999999999,42.3,-1023.06,SL,EUROPE,3,12,2025-07,45.0,-0.999,3.5,1023.73,13601.73,12.3429,24.19,0.00054
NAS100.,LONG,2025-07-24 11:45:00,2025-07-24 13:30:00,23252.64,23233.49714285714,23233.49714285714,23319.640000000007,53.4,-1022.23,SL,EUROPE,3,11,2025-07,105.0,-0.999,3.5,1023.73,12579.5,9.6964,19.14,0.00082
DJ30.,LONG,2025-07-25 12:35:00,2025-07-25 13:05:00,44787.01,44764.36714285715,44764.36714285715,44866.259999999995,38.8,-878.54,SL,EUROPE,4,12,2025-07,30.0,-0.998,3.5,880.56,11700.96,11.0714,22.64,0.00051
SP500.,LONG,2025-07-25 13:35:00,2025-07-25 14:30:00,6376.95,6374.092857142857,6374.092857142857,6386.950000000001,124.9,-356.86,SL,EUROPE,4,13,2025-07,55.0,-0.436,3.5,819.07,11344.1,1.3036,2.86,0.00045
NAS100.,SHORT,2025-07-28 10:30:00,2025-07-28 10:55:00,23416.2,23430.95,23430.95,23364.575,53.8,-793.55,SL,EUROPE,0,10,2025-07,25.0,-0.999,3.5,794.09,10550.55,7.5,14.75,0.00063
SP500.,SHORT,2025-07-28 10:15:00,2025-07-28 13:40:00,6417.6,6405.419999999998,6421.080000000001,6405.419999999998,124.9,1521.28,TP,EUROPE,0,10,2025-07,205.0,1.916,3.5,794.09,12071.83,1.74,3.48,0.00054
DJ30.,SHORT,2025-07-28 10:05:00,2025-07-28 13:45:00,45082.95,44956.7,45119.021428571425,44956.7,22.0,2777.5,TP,EUROPE,0,10,2025-07,220.0,3.498,3.5,794.09,14849.33,17.5357,36.07,0.0008
DJ30.,SHORT,2025-07-29 10:05:00,2025-07-29 10:45:00,44896.51,44924.08142857143,44924.08142857143,44800.01000000001,37.7,-1039.44,SL,EUROPE,1,10,2025-07,40.0,-1.0,3.5,1039.45,13809.89,13.2857,27.57,0.00061
DJ30.,LONG,2025-07-29 11:25:00,2025-07-29 12:55:00,44936.01,44899.29571428572,44899.29571428572,45064.509999999995,26.3,-965.59,SL,EUROPE,1,11,2025-07,90.0,-0.999,3.5,966.69,12844.3,17.8571,36.71,0.00082
DJ30.,SHORT,2025-07-29 13:05:00,2025-07-29 14:35:00,44877.51,44937.224285714285,44937.224285714285,44668.51000000001,15.0,-895.71,SL,EUROPE,1,13,2025-07,90.0,-0.996,3.5,899.1,11948.59,30.3571,59.71,0.00133
NAS100.,SHORT,2025-07-30 10:05:00,2025-07-30 10:25:00,23357.74,23371.025714285715,23371.025714285715,23311.240000000005,62.9,-835.67,SL,EUROPE,2,10,2025-07,20.0,-0.999,3.5,836.4,11112.92,6.5179,13.29,0.00057
