symbol,type,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,lot_size,profit,exit_reason,session,day_of_week,hour,month,duration_min,r_multiple,rr_ratio_used,risk_amount,balance_after,atr_at_entry,sl_distance_pts,sl_distance_pct
SP500.,SHORT,2025-07-14 08:35:00,2025-07-14 08:50:00,6233.35,6225.719999999999,6235.530000000001,6225.719999999999,124.9,952.99,TP,EUROPE,0,8,2025-07,15.0,1.906,3.5,500.0,10952.99,1.09,2.18,0.00035
NAS100.,SHORT,2025-07-14 08:35:00,2025-07-14 09:00:00,22697.7,22658.449999999997,22708.914285714287,22658.449999999997,44.5,1746.63,TP,EUROPE,0,8,2025-07,25.0,3.493,3.5,500.0,12699.61,5.6071,11.21,0.00049
DJ30.,SHORT,2025-07-14 08:50:00,2025-07-14 09:35:00,44142.45,44166.59285714285,44166.59285714285,44057.950000000004,20.7,-499.76,SL,EUROPE,0,8,2025-07,45.0,-1.0,3.5,500.0,12199.85,12.0714,24.14,0.00055
NAS100.,LONG,2025-07-14 11:05:00,2025-07-14 16:30:00,22711.2,22810.700000000004,22682.77142857143,22810.700000000004,21.4,2129.3,TP,EUROPE,0,11,2025-07,325.0,3.491,3.5,609.99,14329.15,14.2143,28.43,0.00125
DJ30.,LONG,2025-07-14 11:00:00,2025-07-14 16:35:00,44207.45,44381.950000000004,44157.59285714285,44381.950000000004,12.2,2128.9,TP,EUROPE,0,11,2025-07,335.0,3.49,3.5,609.99,16458.05,24.9286,49.86,0.00113
SP500.,LONG,2025-07-14 11:00:00,2025-07-14 17:00:00,6236.6,6252.05,6230.315714285714,6258.595000000001,97.0,1498.65,TIME,EUROPE,0,11,2025-07,360.0,2.457,3.5,609.99,17956.7,3.1421,6.28,0.00101
DJ30.,SHORT,2025-07-15 11:00:00,2025-07-15 13:30:00,44434.45,44485.235714285714,44485.235714285714,44256.69999999998,17.6,-893.83,SL,EUROPE,1,11,2025-07,150.0,-0.996,3.5,897.84,17062.88,20.3929,50.79,0.00114
NAS100.,LONG,2025-07-17 08:00:00,2025-07-17 08:45:00,22896.76,22933.235,22886.33857142857,22933.235,81.8,2983.66,TP,EUROPE,3,8,2025-07,45.0,3.497,3.5,853.14,20046.53,4.9607,10.42,0.00046
DJ30.,SHORT,2025-07-17 11:30:00,2025-07-17 12:15:00,44202.5,44244.142857142855,44244.142857142855,44056.75000000001,24.0,-999.43,SL,EUROPE,3,11,2025-07,45.0,-0.997,3.5,1002.33,19047.1,21.0714,41.64,0.00094
DJ30.,LONG,2025-07-17 12:30:00,2025-07-17 12:55:00,44258.5,44226.0,44226.0,44372.25,29.3,-952.25,SL,EUROPE,3,12,2025-07,25.0,-1.0,3.5,952.36,18094.85,16.5,32.5,0.00073
