symbol,type,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,lot_size,profit,exit_reason,rr_ratio,session,day_of_week
DJ30.,LONG,2025-07-11 02:55:00,2025-07-11 03:00:00,44710.55,44696.58571428572,44696.58571428572,44738.47857142857,71.6,-999.8428571426338,SL,2.0,ASIA,4
DJ30.,LONG,2025-07-11 06:50:00,2025-07-11 07:10:00,44535.55,44515.69285714286,44515.69285714286,44575.26428571429,45.3,-899.5285714286656,SL,2.0,ASIA,4
NAS100.,LONG,2025-07-11 06:30:00,2025-07-11 08:55:00,22794.1,22781.08214285714,22781.08214285714,22820.135714285716,69.1,-899.5339285715362,SL,2.0,ASIA,4
SP500.,LONG,2025-07-11 06:40:00,2025-07-11 08:55:00,6270.25,6267.933571428572,6267.933571428572,6274.882857142857,124.9,-289.3219285713987,SL,2.0,ASIA,4
DJ30.,SHORT,2025-07-11 09:30:00,2025-07-11 10:00:00,44507.55,44537.44285714286,44537.44285714286,44432.817857142865,23.1,-690.524999999952,SL,2.5,EUROPE,4
NAS100.,SHORT,2025-07-11 09:35:00,2025-07-11 10:00:00,22781.1,22795.233928571426,22795.233928571426,22745.76517857143,48.9,-691.1491071428063,SL,2.5,EUROPE,4
SP500.,SHORT,2025-07-11 09:30:00,2025-07-11 10:00:00,6266.25,6269.4632142857145,6269.4632142857145,6258.216964285713,124.9,-401.33046428573573,SL,2.5,EUROPE,4
SP500.,LONG,2025-07-14 07:20:00,2025-07-14 07:50:00,6234.6,6232.778571428572,6232.778571428572,6238.242857142857,124.9,-227.49642857141237,SL,2.0,ASIA,0
NAS100.,LONG,2025-07-14 05:05:00,2025-07-14 08:35:00,22697.7,22697.7,22684.1375,22724.825,37.8,0.0,TIME,2.0,ASIA,0
DJ30.,LONG,2025-07-14 07:40:00,2025-07-14 08:45:00,44197.45,44185.34285714285,44185.34285714285,44221.66428571429,42.3,-512.1321428572307,SL,2.0,ASIA,0
NAS100.,SHORT,2025-07-14 08:35:00,2025-07-14 08:45:00,22697.7,22676.673214285714,22706.110714285714,22676.673214285714,58.2,1223.758928571459,TP,2.5,EUROPE,0
SP500.,SHORT,2025-07-14 08:35:00,2025-07-14 08:45:00,6233.35,6229.2625,6234.985000000001,6229.2625,124.9,510.52875000006816,TP,2.5,EUROPE,0
DJ30.,LONG,2025-07-14 11:00:00,2025-07-14 14:30:00,44207.45,44255.45,44170.05714285714,44300.932142857135,16.3,782.4000000000001,TIME,2.5,EUROPE,0
SP500.,LONG,2025-07-14 11:00:00,2025-07-14 14:30:00,6236.6,6240.17,6231.886785714286,6248.383035714287,124.9,445.89299999996365,TIME,2.5,EUROPE,0
NAS100.,LONG,2025-07-14 11:05:00,2025-07-14 14:35:00,22711.2,22717.95,22689.878571428573,22764.50357142857,28.7,193.725,TIME,2.5,EUROPE,0
DJ30.,SHORT,2025-07-15 01:05:00,2025-07-15 02:55:00,44432.65,44450.39821428571,44450.39821428571,44397.15357142858,42.5,-754.2991071427423,SL,2.0,ASIA,1
DJ30.,SHORT,2025-07-15 06:55:00,2025-07-15 07:35:00,44449.45,44473.235714285714,44473.235714285714,44401.87857142856,28.5,-677.892857142946,SL,2.0,ASIA,1
DJ30.,LONG,2025-07-15 07:45:00,2025-07-15 08:05:00,44484.45,44518.23571428571,44467.55714285714,44518.23571428571,36.1,1219.6642857141358,TP,2.0,ASIA,1
DJ30.,SHORT,2025-07-15 11:00:00,2025-07-15 13:15:00,44434.45,44475.03928571428,44475.03928571428,44332.97678571429,18.0,-730.6071428570867,SL,2.5,EUROPE,1
DJ30.,LONG,2025-07-15 13:40:00,2025-07-15 13:45:00,44502.95,44475.37857142857,44475.37857142857,44571.87857142856,23.9,-658.957142857118,SL,2.5,EUROPE,1
DJ30.,LONG,2025-07-16 04:10:00,2025-07-16 04:35:00,43995.45,43972.62857142857,43972.62857142857,44041.09285714285,26.0,-593.3571428571158,SL,2.0,ASIA,2
DJ30.,SHORT,2025-07-16 07:35:00,2025-07-16 08:00:00,43979.45,43993.2,43993.2,43951.95,38.9,-534.875,SL,2.0,ASIA,2
SP500.,SHORT,2025-07-16 07:45:00,2025-07-16 08:00:00,6237.2,6238.903214285714,6238.903214285714,6233.793571428571,124.9,-212.73146428570846,SL,2.0,ASIA,2
SP500.,LONG,2025-07-16 11:30:00,2025-07-16 15:00:00,6238.3,6243.1,6235.274285714286,6245.864285714286,124.9,599.5200000000227,TIME,2.5,EUROPE,2
NAS100.,LONG,2025-07-16 12:05:00,2025-07-16 15:30:00,22840.7,22882.083928571432,22824.14642857143,22882.083928571432,27.8,1150.4732142857865,TP,2.5,EUROPE,2
DJ30.,SHORT,2025-07-17 01:35:00,2025-07-17 03:25:00,44192.5,44210.516071428574,44210.516071428574,44156.46785714285,35.2,-634.1657142858021,SL,2.0,ASIA,3
NAS100.,SHORT,2025-07-17 01:35:00,2025-07-17 03:25:00,22887.76,22898.836785714284,22898.836785714284,22865.606428571427,57.3,-634.6998214285595,SL,2.0,ASIA,3
SP500.,SHORT,2025-07-17 01:25:00,2025-07-17 03:25:00,6256.75,6259.383928571428,6259.383928571428,6251.482142857143,124.9,-328.97767857141235,SL,2.0,ASIA,3
DJ30.,LONG,2025-07-17 04:05:00,2025-07-17 04:30:00,44209.5,44190.57142857143,44190.57142857143,44247.357142857145,25.1,-475.107142857169,SL,2.0,ASIA,3
NAS100.,LONG,2025-07-17 04:15:00,2025-07-17 04:30:00,22900.51,22888.70107142857,22888.70107142857,22924.127857142852,40.2,-474.7189285713576,SL,2.0,ASIA,3
SP500.,LONG,2025-07-17 04:15:00,2025-07-17 04:30:00,6259.38,6256.808571428572,6256.808571428572,6264.522857142857,124.9,-321.1714285714124,SL,2.0,ASIA,3
NAS100.,LONG,2025-07-17 08:00:00,2025-07-17 08:15:00,22896.76,22888.818928571425,22888.818928571425,22916.61267857143,43.8,-347.8189285715059,SL,2.5,EUROPE,3
DJ30.,LONG,2025-07-17 07:50:00,2025-07-17 08:30:00,44201.5,44226.428571428565,44189.03571428572,44226.428571428565,27.9,695.5071428569688,TP,2.0,ASIA,3
SP500.,LONG,2025-07-17 07:55:00,2025-07-17 08:30:00,6256.25,6259.878571428571,6254.435714285714,6259.878571428571,124.9,453.20857142856494,TP,2.0,ASIA,3
DJ30.,SHORT,2025-07-17 11:30:00,2025-07-17 12:00:00,44202.5,44233.607142857145,44233.607142857145,44124.73214285714,13.7,-426.1678571428856,SL,2.5,EUROPE,3
DJ30.,LONG,2025-07-17 12:30:00,2025-07-17 12:45:00,44258.5,44234.25,44234.25,44319.125,15.9,-385.575,SL,2.5,EUROPE,3
NAS100.,SHORT,2025-07-17 12:40:00,2025-07-17 14:00:00,22963.76,22929.36267857143,22977.518928571426,22929.36267857143,28.0,963.1249999999272,TP,2.5,EUROPE,3
NAS100.,SHORT,2025-07-18 05:10:00,2025-07-18 05:30:00,23114.86,23121.892142857145,23121.892142857145,23100.795714285712,63.0,-443.02500000008513,SL,2.0,ASIA,4
SP500.,SHORT,2025-07-18 10:30:00,2025-07-18 10:55:00,6309.25,6311.852142857143,6311.852142857143,6302.744642857142,124.9,-325.00764285716167,SL,2.5,EUROPE,4
NAS100.,SHORT,2025-07-18 10:25:00,2025-07-18 12:15:00,23124.36,23136.217142857142,23136.217142857142,23094.717142857146,33.6,-398.3999999999476,SL,2.5,EUROPE,4
DJ30.,SHORT,2025-07-21 05:45:00,2025-07-21 06:05:00,44376.45,44388.55714285714,44388.55714285714,44352.23571428571,27.0,-326.8928571429133,SL,2.0,ASIA,0
NAS100.,SHORT,2025-07-21 06:25:00,2025-07-21 06:50:00,23110.45,23098.628571428573,23116.360714285714,23098.628571428573,49.7,587.5249999999484,TP,2.0,ASIA,0
SP500.,SHORT,2025-07-21 06:00:00,2025-07-21 07:25:00,6305.35,6306.727857142858,6306.727857142858,6302.594285714285,124.9,-172.0943571428974,SL,2.0,ASIA,0
DJ30.,SHORT,2025-07-21 13:25:00,2025-07-21 15:55:00,44454.45,44416.77142857143,44469.521428571425,44416.77142857143,22.2,836.4642857141472,TP,2.5,EUROPE,0
NAS100.,LONG,2025-07-22 03:20:00,2025-07-22 03:35:00,23217.99,23209.516785714288,23209.516785714288,23234.93642857143,49.5,-419.4241071428314,SL,2.0,ASIA,1
SP500.,LONG,2025-07-22 03:10:00,2025-07-22 03:50:00,6315.25,6314.0,6314.0,6317.75,124.9,-156.125,SL,2.0,ASIA,1
DJ30.,LONG,2025-07-22 03:05:00,2025-07-22 04:10:00,44426.51,44414.29928571429,44414.29928571429,44450.93142857143,34.3,-418.8274999999572,SL,2.0,ASIA,1
NAS100.,SHORT,2025-07-22 04:20:00,2025-07-22 04:30:00,23203.49,23213.25785714286,23213.25785714286,23183.954285714284,32.7,-319.4089285714796,SL,2.0,ASIA,1
NAS100.,SHORT,2025-07-22 06:10:00,2025-07-22 06:35:00,23199.24,23184.757857142857,23206.481071428574,23184.757857142857,39.7,574.941071428654,TP,2.0,ASIA,1
NAS100.,LONG,2025-07-22 10:10:00,2025-07-22 10:50:00,23193.74,23181.88285714286,23181.88285714286,23223.382857142853,29.1,-345.0428571428118,SL,2.5,EUROPE,1
SP500.,LONG,2025-07-22 10:15:00,2025-07-22 10:50:00,6311.6,6309.477857142858,6309.477857142858,6316.905357142857,124.9,-265.0556428571026,SL,2.5,EUROPE,1
DJ30.,SHORT,2025-07-22 11:35:00,2025-07-22 14:00:00,44368.51,44298.24214285714,44396.61714285715,44298.24214285714,10.1,709.7053571429096,TP,2.5,EUROPE,1
NAS100.,SHORT,2025-07-22 11:30:00,2025-07-22 14:05:00,23149.99,23170.75785714286,23170.75785714286,23098.070357142853,13.7,-284.51964285716423,SL,2.5,EUROPE,1
SP500.,SHORT,2025-07-22 11:35:00,2025-07-22 14:05:00,6304.22,6308.100714285715,6308.100714285715,6294.518214285713,73.3,-284.4563571429044,SL,2.5,EUROPE,1
NAS100.,SHORT,2025-07-24 06:35:00,2025-07-24 06:45:00,23265.39,23253.193571428572,23271.488214285713,23253.193571428572,48.9,596.4053571428063,TP,2.0,ASIA,3
DJ30.,SHORT,2025-07-24 06:35:00,2025-07-24 07:20:00,44923.51,44903.51,44933.51,44903.51,29.8,596.0,TP,2.0,ASIA,3
DJ30.,LONG,2025-07-24 12:35:00,2025-07-24 13:00:00,44900.01,44945.04571428572,44881.99571428572,44945.04571428572,23.1,1040.3250000000721,TP,2.5,EUROPE,3
NAS100.,LONG,2025-07-24 11:45:00,2025-07-24 13:20:00,23252.64,23238.345357142858,23238.345357142858,23288.376607142854,29.2,-417.4035714285259,SL,2.5,EUROPE,3
NAS100.,LONG,2025-07-25 01:30:00,2025-07-25 02:15:00,23273.69,23263.563214285714,23263.563214285714,23293.94357142857,47.4,-480.0096428570985,SL,2.0,ASIA,4
