symbol,type,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,lot_size,profit,exit_reason,session,day_of_week,hour,month,duration_min,r_multiple,rr_ratio_used,risk_amount,balance_after,atr_at_entry,sl_distance_pts,sl_distance_pct
DJ30.,SHORT,2025-07-11 09:30:00,2025-07-11 10:00:00,44507.55,44537.44285714286,44537.44285714286,44432.817857142865,16.7,-499.21,SL,EUROPE,4,9,2025-07,30.0,-0.998,2.5,500.0,9500.79,19.9286,29.89,0.00067
NAS100.,SHORT,2025-07-11 09:35:00,2025-07-11 10:00:00,22781.1,22795.233928571426,22795.233928571426,22745.76517857143,35.3,-498.93,SL,EUROPE,4,9,2025-07,25.0,-0.998,2.5,500.0,9001.86,9.5893,14.13,0.00062
SP500.,SHORT,2025-07-11 09:30:00,2025-07-11 10:00:00,6266.25,6269.4632142857145,6269.4632142857145,6258.216964285713,124.9,-401.33,SL,EUROPE,4,9,2025-07,30.0,-0.803,2.5,500.0,8600.53,2.1421,3.21,0.00051
NAS100.,SHORT,2025-07-14 08:35:00,2025-07-14 08:45:00,22697.7,22676.673214285714,22706.110714285714,22676.673214285714,51.1,1074.47,TP,EUROPE,0,8,2025-07,10.0,2.499,2.5,430.03,9675.0,5.6071,8.41,0.00037
SP500.,SHORT,2025-07-14 08:35:00,2025-07-14 08:45:00,6233.35,6229.2625,6234.985000000001,6229.2625,124.9,510.53,TP,EUROPE,0,8,2025-07,10.0,1.187,2.5,430.03,10185.53,1.09,1.64,0.00026
DJ30.,SHORT,2025-07-14 08:50:00,2025-07-14 09:25:00,44142.45,44160.55714285714,44160.55714285714,44097.182142857135,28.1,-508.81,SL,EUROPE,0,8,2025-07,35.0,-0.999,2.5,509.28,9676.72,12.0714,18.11,0.00041
DJ30.,LONG,2025-07-14 11:00:00,2025-07-14 14:30:00,44207.45,44255.45,44170.05714285714,44300.932142857135,12.9,619.2,TIME,EUROPE,0,11,2025-07,210.0,1.28,2.5,483.84,10295.92,24.9286,37.39,0.00085
SP500.,LONG,2025-07-14 11:00:00,2025-07-14 14:30:00,6236.6,6240.17,6231.886785714286,6248.383035714287,102.6,366.28,TIME,EUROPE,0,11,2025-07,210.0,0.757,2.5,483.84,10662.2,3.1421,4.71,0.00076
NAS100.,LONG,2025-07-14 11:05:00,2025-07-14 14:35:00,22711.2,22717.95,22689.878571428573,22764.50357142857,22.6,152.55,TIME,EUROPE,0,11,2025-07,210.0,0.315,2.5,483.84,10814.75,14.2143,21.32,0.00094
DJ30.,SHORT,2025-07-15 11:00:00,2025-07-15 13:15:00,44434.45,44475.03928571428,44475.03928571428,44332.97678571429,13.3,-539.84,SL,EUROPE,1,11,2025-07,135.0,-0.998,2.5,540.74,10274.91,20.3929,40.59,0.00091
DJ30.,LONG,2025-07-15 13:40:00,2025-07-15 13:45:00,44502.95,44475.37857142857,44475.37857142857,44571.87857142856,18.6,-512.83,SL,EUROPE,1,13,2025-07,5.0,-0.998,2.5,513.75,9762.08,18.7143,27.57,0.00062
SP500.,LONG,2025-07-16 11:30:00,2025-07-16 15:00:00,6238.3,6243.1,6235.274285714286,6245.864285714286,124.9,599.52,TIME,EUROPE,2,11,2025-07,210.0,1.228,2.5,488.1,10361.6,2.0171,3.03,0.00049
NAS100.,LONG,2025-07-16 12:05:00,2025-07-16 15:30:00,22840.7,22882.083928571432,22824.14642857143,22882.083928571432,29.4,1216.69,TP,EUROPE,2,12,2025-07,205.0,2.493,2.5,488.1,11578.29,11.0357,16.55,0.00072
NAS100.,LONG,2025-07-17 08:00:00,2025-07-17 08:15:00,22896.76,22888.818928571425,22888.818928571425,22916.61267857143,72.9,-578.9,SL,EUROPE,3,8,2025-07,15.0,-1.0,2.5,578.91,10999.39,4.9607,7.94,0.00035
DJ30.,SHORT,2025-07-17 11:30:00,2025-07-17 12:00:00,44202.5,44233.607142857145,44233.607142857145,44124.73214285714,17.6,-547.49,SL,EUROPE,3,11,2025-07,30.0,-0.995,2.5,549.97,10451.9,21.0714,31.11,0.0007
DJ30.,LONG,2025-07-17 12:30:00,2025-07-17 12:45:00,44258.5,44234.25,44234.25,44319.125,21.5,-521.38,SL,EUROPE,3,12,2025-07,15.0,-0.998,2.5,522.6,9930.53,16.5,24.25,0.00055
NAS100.,SHORT,2025-07-17 12:40:00,2025-07-17 14:00:00,22963.76,22929.36267857143,22977.518928571426,22929.36267857143,37.9,1303.66,TP,EUROPE,3,12,2025-07,80.0,2.495,2.5,522.6,11234.19,9.3393,13.76,0.0006
SP500.,SHORT,2025-07-18 10:30:00,2025-07-18 10:55:00,6309.25,6311.852142857143,6311.852142857143,6302.744642857142,124.9,-325.01,SL,EUROPE,4,10,2025-07,25.0,-0.579,2.5,561.71,10909.18,1.9014,2.6,0.00041
NAS100.,SHORT,2025-07-18 10:25:00,2025-07-18 12:15:00,23124.36,23136.217142857142,23136.217142857142,23094.717142857146,47.3,-560.84,SL,EUROPE,4,10,2025-07,110.0,-0.998,2.5,561.71,10348.33,8.0714,11.86,0.00051
DJ30.,SHORT,2025-07-21 13:25:00,2025-07-21 15:55:00,44454.45,44416.77142857143,44469.521428571425,44416.77142857143,34.3,1292.37,TP,EUROPE,0,13,2025-07,150.0,2.498,2.5,517.42,11640.71,10.7143,15.07,0.00034
NAS100.,LONG,2025-07-22 10:10:00,2025-07-22 10:50:00,23193.74,23181.88285714286,23181.88285714286,23223.382857142853,49.0,-581.0,SL,EUROPE,1,10,2025-07,40.0,-0.998,2.5,582.04,11059.71,8.0714,11.86,0.00051
SP500.,LONG,2025-07-22 10:15:00,2025-07-22 10:50:00,6311.6,6309.477857142858,6309.477857142858,6316.905357142857,124.9,-265.06,SL,EUROPE,1,10,2025-07,35.0,-0.455,2.5,582.04,10794.65,1.5814,2.12,0.00034
DJ30.,SHORT,2025-07-22 11:35:00,2025-07-22 14:00:00,44368.51,44298.24214285714,44396.61714285715,44298.24214285714,19.2,1349.14,TP,EUROPE,1,11,2025-07,145.0,2.5,2.5,539.73,12143.8,19.0714,28.11,0.00063
NAS100.,SHORT,2025-07-22 11:30:00,2025-07-22 14:05:00,23149.99,23170.75785714286,23170.75785714286,23098.070357142853,25.9,-537.89,SL,EUROPE,1,11,2025-07,155.0,-0.997,2.5,539.73,11605.91,13.6786,20.77,0.0009
