name,risk_pct,rr,atr_sl,time_exit,cooldown,allowed_hours,blocked_days,return_pct,net_profit,total_trades,win_rate,profit_factor,max_drawdown_pct,avg_r_multiple,max_consecutive_losses
R7_RR3.5_SL2.0_TE360_CD0_BH9_BDnone,7,3.5,2.0,360,0,"[8, 10, 11, 12, 13]",[],5483.17,548317.33,470,32.98,1.71,15.84,0.2066,18
R5_RR3.5_SL2.0_TE360_CD2_BH913_BD2,5,3.5,2.0,360,2,"[8, 10, 11, 12]",[2],5200.0,520000.32,306,35.95,2.29,10.53,0.3605,15
R5_RR3.5_SL2.0_TE210_CD4_BH9_BD2,5,3.5,2.0,210,4,"[8, 10, 11, 12, 13]",[2],4928.78,492878.38,368,39.67,2.03,11.94,0.2799,14
R7_RR3.5_SL2.0_TE0_CD0_BH913_BD2,7,3.5,2.0,0,0,"[8, 10, 11, 12]",[2],4899.45,489945.41,313,33.87,2.08,11.83,0.3037,16
R7_RR3.0_SL2.0_TE360_CD4_BHnone_BD2,7,3.0,2.0,360,4,all,[2],4886.7,488669.74,432,35.19,1.76,13.55,0.2129,18
R5_RR3.5_SL2.0_TE360_CD4_BH89_BD2,5,3.5,2.0,360,4,"[10, 11, 12, 13]",[2],4852.28,485228.28,301,35.55,2.07,11.54,0.3495,16
R5_RR3.5_SL2.0_TE360_CD0_BH913_BD2,5,3.5,2.0,360,0,"[8, 10, 11, 12]",[2],4822.49,482248.89,313,35.14,2.22,10.32,0.3546,16
R7_RR2.5_SL2.0_TE360_CD0_BH9_BD2,7,2.5,2.0,360,0,"[8, 10, 11, 12, 13]",[2],4798.94,479894.45,396,39.9,1.88,12.5,0.2066,15
R3_RR3.5_SL2.0_TE360_CD4_BH9_BDnone,3,3.5,2.0,360,4,"[8, 10, 11, 12, 13]",[],4768.37,476836.83,440,34.09,1.92,12.5,0.3653,17
R7_RR3.0_SL2.0_TE360_CD2_BH913_BD2,7,3.0,2.0,360,2,"[8, 10, 11, 12]",[2],4728.86,472886.41,306,37.91,2.07,13.41,0.2755,15
R7_RR3.0_SL2.0_TE210_CD2_BH9_BD2,7,3.0,2.0,210,2,"[8, 10, 11, 12, 13]",[2],4711.05,471105.36,383,40.21,1.91,14.27,0.2106,14
R7_RR3.5_SL2.0_TE210_CD0_BHnone_BD2,7,3.5,2.0,210,0,all,[2],4643.15,464314.64,481,36.59,1.69,19.46,0.19,19
R7_RR3.5_SL2.0_TE210_CD2_BH913_BD2,7,3.5,2.0,210,2,"[8, 10, 11, 12]",[2],4587.69,458768.8,306,41.83,2.2,14.11,0.2604,14
R7_RR3.5_SL1.5_TE0_CD0_BH9_BD2,7,3.5,1.5,0,0,"[8, 10, 11, 12, 13]",[2],4560.45,456044.53,396,33.33,2.01,13.56,0.2259,15
R5_RR2.5_SL2.5_TE360_CD4_BH9_BD2,5,2.5,2.5,360,4,"[8, 10, 11, 12, 13]",[2],4556.96,455695.52,363,39.94,1.74,18.72,0.2777,13
R7_RR3.0_SL2.0_TE210_CD0_BHnone_BD2,7,3.0,2.0,210,0,all,[2],4536.52,453652.36,481,37.21,1.69,17.57,0.1818,19
R7_RR3.0_SL2.5_TE360_CD4_BH9_BD2,7,3.0,2.5,360,4,"[8, 10, 11, 12, 13]",[2],4525.33,452533.48,363,36.09,1.63,16.99,0.2392,13
R5_RR3.0_SL2.0_TE360_CD2_BH9_BDnone,5,3.0,2.0,360,2,"[8, 10, 11, 12, 13]",[],4522.16,452216.16,457,35.45,1.68,18.19,0.2362,17
R5_RR3.5_SL2.0_TE360_CD0_BH913_BDnone,5,3.5,2.0,360,0,"[8, 10, 11, 12]",[],4481.39,448139.11,366,34.15,1.91,13.85,0.3095,18
